YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,3.77,1.07,1.77,9.27,18.97,21.87,22.97,21.97,17.67,10.67,0.27,-4.23,3.16,10.00,22.27,9.54,11.24
1881,-6.73,-3.23,0.97,6.87,17.87,18.17,23.67,23.47,22.47,14.17,6.77,4.27,-4.73,8.57,21.77,14.47,10.02
1882,-0.73,4.17,4.37,7.67,11.77,19.57,21.37,21.97,17.97,14.27,5.97,-0.73,2.57,7.94,20.97,12.74,11.05
1883,-5.93,-3.33,-1.13,7.87,12.17,19.97,21.87,19.97,15.47,10.37,6.37,0.55,-3.33,6.30,20.60,10.74,8.58
1884,-6.15,-0.95,1.85,7.45,14.95,21.35,21.15,20.85,20.25,13.45,4.05,-1.07,-2.18,8.08,21.12,12.58,9.90
1885,-5.27,-8.77,-3.37,7.23,13.73,18.83,23.83,19.33,17.03,10.23,5.43,0.11,-5.04,5.86,20.66,10.90,8.10
1886,-4.29,-2.38,2.61,11.11,15.41,20.11,22.61,22.11,19.01,13.31,4.21,-3.91,-2.19,9.71,21.61,12.18,10.33
1887,-4.11,-1.51,0.09,8.79,18.19,21.09,25.29,20.99,16.29,9.29,4.09,-0.83,-3.18,9.02,22.46,9.89,9.55
1888,-7.13,-3.72,-1.43,6.57,12.67,20.27,22.07,20.87,15.87,8.67,5.67,0.25,-3.89,5.94,21.07,10.07,8.30
1889,-0.65,-6.35,3.35,8.25,14.35,18.05,22.25,21.35,17.35,8.65,5.05,4.53,-2.25,8.65,20.55,10.35,9.33
1890,1.33,0.73,-0.47,8.33,12.83,22.33,22.73,19.73,15.73,11.23,5.63,-2.09,2.20,6.90,21.60,10.86,10.39
1891,-1.19,-0.19,-0.29,9.31,13.41,20.51,19.91,21.21,20.21,10.71,2.91,2.49,-1.16,7.48,20.54,11.28,9.54
1892,-5.71,-1.11,-0.31,7.39,13.29,21.19,22.59,21.89,17.69,11.09,2.39,-2.43,-1.44,6.79,21.89,10.39,9.41
1893,-8.73,-4.66,1.04,7.44,13.44,21.64,23.34,21.74,17.04,12.04,4.34,-1.49,-5.27,7.31,22.24,11.14,8.85
1894,-0.29,-3.79,5.31,9.31,14.01,22.11,23.91,21.41,19.61,11.61,2.41,0.99,-1.86,9.54,22.48,11.21,10.34
1895,-5.81,-7.01,-1.31,9.79,15.89,22.39,21.99,22.39,19.89,7.99,3.89,-0.53,-3.94,8.12,22.26,10.59,9.26
1896,-2.83,-3.03,-1.13,11.27,18.97,20.47,22.47,21.87,15.87,9.27,5.37,-0.15,-2.13,9.70,21.60,10.17,9.84
1897,-4.15,-1.75,1.95,7.85,13.15,18.75,24.35,20.45,19.55,13.85,4.45,-1.67,-2.02,7.65,21.18,12.62,9.86
1898,-1.37,-2.37,5.13,7.93,15.33,21.43,23.43,22.73,20.23,12.23,3.63,-2.09,-1.80,9.46,22.53,12.03,10.56
1899,-3.69,-5.99,-0.89,10.81,15.91,20.91,22.51,22.81,15.91,13.81,6.61,-1.11,-3.92,8.61,22.08,12.11,9.72
1900,-1.31,-5.21,-2.61,9.49,15.99,19.79,22.79,24.69,19.79,15.99,4.29,-0.73,-2.54,7.62,22.42,13.36,10.21
1901,-3.13,-7.93,1.17,9.17,14.07,20.97,25.37,22.67,18.67,11.97,2.97,-2.95,-3.93,8.14,23.00,11.20,9.60
1902,-3.45,-4.55,4.45,8.85,15.05,18.25,23.15,20.45,17.25,11.75,8.85,-2.07,-3.65,9.45,20.62,12.62,9.76
1903,-3.66,-2.87,5.63,8.73,16.33,17.63,23.03,20.13,18.23,12.13,2.93,-4.69,-2.87,10.23,20.26,11.10,9.68
1904,-7.29,-8.19,0.91,5.51,15.41,19.91,22.21,20.51,17.91,10.61,5.01,-2.82,-6.72,7.28,20.88,11.18,8.15
1905,-5.82,-7.22,3.38,7.28,14.38,19.98,22.28,22.28,18.88,11.58,3.58,0.56,-5.29,8.35,21.51,11.35,8.98
1906,1.36,-2.94,-1.63,9.86,14.46,20.26,22.26,23.86,20.56,10.86,4.66,-1.06,-0.34,7.56,22.13,12.03,10.34
1907,-2.60,-5.20,4.50,4.40,11.00,18.80,22.20,20.50,17.60,9.00,4.00,-0.12,-2.95,6.63,20.50,10.20,8.60
1908,-2.62,-4.92,2.78,7.88,15.48,20.68,23.18,21.38,20.78,12.58,5.18,-0.54,-2.55,8.71,21.75,12.85,10.19
1909,-1.14,-0.84,0.96,6.76,13.56,19.96,22.26,22.36,16.76,8.86,7.76,-4.26,-0.84,7.09,21.53,11.13,9.73
1910,-3.16,-4.66,7.14,9.84,12.44,19.64,23.74,21.84,17.84,12.94,2.64,-4.17,-4.03,9.81,21.74,11.14,9.67
1911,-1.88,-1.08,1.32,8.22,18.52,21.22,23.62,21.82,18.32,10.82,2.52,1.60,-2.38,9.35,22.22,10.55,9.94
1912,-9.90,-7.00,-2.60,8.30,15.40,18.80,22.20,20.10,18.90,12.40,5.20,0.58,-5.10,7.03,20.37,12.17,8.62
1913,-0.32,-5.22,1.38,8.88,14.38,20.98,23.18,22.58,17.18,12.18,6.88,1.76,-1.65,8.21,22.25,12.08,10.22
1914,-0.84,-7.34,0.96,7.46,16.26,20.36,22.96,22.26,17.46,14.06,4.66,-3.96,-2.14,8.23,21.86,12.06,10.00
1915,-4.16,-0.56,0.34,11.54,11.94,17.64,21.74,19.24,18.64,12.24,6.14,-1.78,-2.89,7.94,19.54,12.34,9.23
1916,-0.58,-5.18,-1.38,8.52,14.62,17.82,25.82,24.02,17.62,11.92,5.12,-2.31,-2.51,7.25,22.55,11.55,9.71
1917,-3.91,-6.41,2.59,6.69,10.99,18.09,22.69,21.29,16.49,7.49,3.99,-5.13,-4.21,6.76,20.69,9.32,8.14
1918,-9.93,-3.63,4.47,7.27,17.07,19.57,22.07,24.07,14.37,13.37,6.07,2.85,-6.23,9.60,21.90,11.27,9.14
1919,-0.05,-0.95,2.65,8.05,13.85,23.65,24.15,21.45,19.55,13.75,4.05,-4.36,0.62,8.18,23.08,12.45,11.08
1920,-7.97,-4.77,3.43,5.23,13.73,20.83,21.13,21.03,18.93,15.43,4.23,0.81,-5.70,7.46,21.00,12.86,8.91
1921,-0.39,-0.39,6.01,12.01,16.61,22.11,26.41,21.61,21.01,11.51,4.11,-0.31,0.01,11.54,23.38,12.21,11.79
1922,-4.11,-1.51,2.89,9.09,17.19,20.89,22.79,21.79,19.59,12.69,6.19,-1.13,-1.98,9.72,21.82,12.82,10.60
1923,-2.33,-5.33,0.07,7.47,13.27,22.07,22.77,20.87,17.97,11.17,4.97,3.45,-2.93,6.94,21.90,11.37,9.32
1924,-5.25,-3.25,1.05,7.95,11.35,18.85,21.25,21.55,15.35,14.25,4.55,-4.46,-1.68,6.78,20.55,11.38,9.26
1925,-4.87,-0.27,3.03,10.93,12.63,21.63,21.83,22.43,19.03,7.03,3.53,-2.39,-3.20,8.86,21.96,9.86,9.37
1926,-3.29,-3.09,-1.49,5.11,14.41,17.61,22.61,22.31,17.21,10.41,3.61,-3.01,-2.92,6.01,20.84,10.41,8.59
1927,-3.91,0.19,4.49,7.99,13.59,17.69,22.09,19.29,19.59,13.79,6.49,-0.53,-2.24,8.69,19.69,13.29,9.86
1928,-2.83,-2.43,0.97,6.57,14.57,17.57,23.27,22.97,16.07,13.07,5.97,0.74,-1.93,7.37,21.27,11.70,9.60
1929,-5.36,-4.55,5.34,9.94,13.44,18.84,22.94,20.54,18.24,10.84,2.84,-2.48,-3.06,9.57,20.77,10.64,9.48
1930,-4.88,1.22,1.32,8.72,16.02,21.42,23.72,23.02,19.02,10.92,5.72,-1.10,-2.05,8.69,22.72,11.89,10.31
1931,-1.70,0.60,1.10,9.20,14.60,20.90,25.40,22.90,21.00,14.20,8.90,2.98,-0.73,8.30,23.07,14.70,11.33
1932,2.78,0.68,-1.12,6.78,15.28,21.28,22.78,23.18,18.18,11.58,2.98,-1.14,2.15,6.98,22.41,10.91,10.61
1933,1.66,-2.34,1.06,8.46,15.56,23.66,24.16,22.16,20.26,11.16,2.26,-1.06,-0.61,8.36,23.33,11.23,10.58
1934,-0.59,-8.98,-1.19,7.01,16.71,23.21,24.61,21.01,19.41,11.61,6.81,-2.81,-3.54,7.51,22.94,12.61,9.88
1935,-3.41,-3.71,4.29,7.19,11.69,18.49,24.89,22.29,16.89,11.09,4.79,-3.33,-3.31,7.72,21.89,10.92,9.31
1936,-5.23,-8.33,3.37,5.97,17.27,19.07,24.07,23.07,19.27,10.97,2.27,0.55,-5.63,8.87,22.07,10.84,9.04
1937,-0.75,-1.65,-0.25,7.35,14.55,19.75,22.95,23.55,16.75,9.55,3.95,-2.67,-0.62,7.22,22.08,10.08,9.69
1938,-3.77,0.03,5.53,9.23,14.83,20.03,23.63,24.03,16.73,13.03,6.23,-0.49,-2.14,9.86,22.56,12.00,10.57
1939,-1.89,-2.39,1.01,7.01,16.51,21.51,23.21,23.01,19.01,11.81,4.11,1.09,-1.59,8.18,22.58,11.64,10.20
1940,-6.81,-2.51,-1.61,6.19,13.29,19.99,23.19,21.49,17.29,11.39,3.59,0.36,-2.74,5.96,21.56,10.76,8.88
1941,-2.84,-3.24,-0.64,11.56,16.96,21.36,23.76,21.86,19.96,13.06,6.36,2.36,-1.91,9.29,22.33,13.13,10.71
1942,-3.04,-4.84,3.76,11.76,15.36,20.76,23.36,21.18,16.95,11.48,5.05,-3.39,-1.84,10.29,21.77,11.16,10.35
1943,-5.10,-1.84,0.99,6.21,13.91,23.05,23.48,22.30,15.87,10.14,3.30,-2.29,-3.44,7.04,22.94,9.77,9.08
1944,-0.63,-1.73,0.02,6.37,17.75,22.27,23.30,23.18,18.04,10.91,5.48,-4.04,-1.55,8.05,22.92,11.48,10.22
1945,-7.59,-2.28,8.16,10.16,11.74,18.87,21.83,21.67,18.13,10.23,5.17,999.90,-4.64,10.02,20.79,11.18,9.34
1946,999.90,-2.58,7.74,9.26,14.13,19.81,23.04,19.84,18.08,14.67,6.87,0.47,999.90,10.38,20.90,13.21,10.70
1947,-1.03,-4.83,-0.43,7.17,12.17,19.07,21.77,24.97,18.67,15.87,3.17,-1.82,-1.80,6.30,21.94,12.57,9.75
1948,-7.13,-3.73,1.87,11.17,13.97,20.17,23.57,22.77,19.47,10.07,7.37,-0.33,-4.23,9.00,22.17,12.30,9.81
1949,-0.13,-0.73,2.27,9.27,16.37,23.47,25.17,22.87,15.27,14.37,3.77,0.47,-0.40,9.30,23.84,11.14,10.97
1950,0.17,-3.03,-0.63,5.47,15.37,19.97,22.07,21.17,17.37,13.37,2.47,-4.42,-0.80,6.74,21.07,11.07,9.52
1951,-2.43,-2.53,2.47,7.87,16.07,20.37,22.87,20.97,16.57,13.07,1.07,-2.43,-3.13,8.80,21.40,10.24,9.33
1952,-1.63,-1.13,1.67,10.07,14.57,22.67,24.87,22.37,18.37,8.87,5.67,1.07,-1.73,8.77,23.30,10.97,10.33
1953,-1.03,-0.13,3.57,7.07,16.17,22.37,23.57,23.37,18.17,14.07,6.17,0.57,-0.03,8.94,23.10,12.80,11.20
1954,-3.43,1.07,1.07,10.57,13.17,22.27,22.47,21.47,18.67,12.47,5.07,-1.23,-0.60,8.27,22.07,12.07,10.45
1955,-3.43,-1.93,2.37,13.07,16.97,20.47,26.17,24.67,18.67,12.77,2.87,-2.63,-2.20,10.80,23.77,11.44,10.95
1956,-3.43,-1.93,0.77,7.87,14.07,21.37,22.07,21.97,15.97,14.37,4.67,1.37,-2.66,7.57,21.80,11.67,9.60
1957,-6.53,-0.83,2.97,9.67,14.27,20.97,23.37,21.57,17.57,10.57,4.67,1.17,-2.00,8.97,21.97,10.94,9.97
1958,-2.93,-5.03,2.97,10.17,15.17,17.97,22.77,21.67,17.67,12.67,5.77,-5.63,-2.26,9.44,20.80,12.04,10.00
1959,-6.05,-3.21,1.74,9.51,17.04,21.02,23.22,24.89,19.54,11.25,2.44,1.48,-4.96,9.43,23.04,11.08,9.65
1960,-1.70,-1.87,-2.90,10.47,14.87,19.68,21.52,22.26,19.67,12.13,6.34,-4.03,-0.70,7.48,21.15,12.71,10.16
1961,-5.04,0.06,4.57,6.53,13.27,19.81,22.95,22.38,20.59,13.21,5.15,-1.24,-3.00,8.12,21.71,12.98,9.95
1962,-5.18,-4.73,1.36,8.68,17.91,20.91,21.45,21.02,16.49,12.71,4.54,-3.66,-3.72,9.32,21.13,11.25,9.49
1963,-8.31,-7.34,3.35,9.25,13.95,20.79,22.61,20.01,16.32,15.18,6.48,-5.53,-6.44,8.85,21.14,12.66,9.05
1964,-1.51,-2.74,1.97,9.32,16.67,19.67,23.37,19.17,16.60,8.76,5.76,-1.46,-3.26,9.32,20.74,10.37,9.29
1965,-3.67,-3.01,-0.69,7.65,17.25,19.71,21.04,20.38,17.75,9.37,5.09,2.05,-2.71,8.07,20.38,10.74,9.12
1966,-6.11,-2.19,3.19,7.25,11.42,20.58,23.42,20.97,17.11,10.90,5.81,-1.48,-2.08,7.29,21.66,11.27,9.53
1967,-1.10,-4.18,2.54,9.24,11.39,21.71,20.90,19.98,16.12,10.75,2.16,-0.26,-2.25,7.72,20.86,9.68,9.00
1968,-5.78,-3.88,3.81,10.88,13.78,20.60,22.41,22.85,18.98,12.28,5.36,-1.79,-3.31,9.49,21.95,12.21,10.09
1969,-4.53,-1.74,1.17,10.02,14.48,18.52,23.23,23.20,18.59,11.14,3.65,-2.74,-2.69,8.56,21.65,11.13,9.66
1970,-8.20,-3.85,0.82,10.01,16.43,20.84,23.15,22.90,18.68,12.95,5.07,-1.00,-4.93,9.09,22.30,12.23,9.67
1971,-5.64,-1.94,0.64,7.95,14.16,22.20,21.53,21.90,19.87,15.33,4.24,1.33,-2.86,7.58,21.88,13.15,9.94
1972,-3.91,-3.46,0.93,7.61,16.33,18.52,22.41,21.22,17.85,9.11,3.63,-0.83,-2.01,8.29,20.72,10.20,9.30
1973,-1.16,-3.09,6.90,10.00,13.68,21.65,23.17,23.36,18.91,14.09,5.84,-1.24,-1.69,10.19,22.73,12.95,11.04
1974,-2.41,-4.06,2.71,10.17,13.47,19.47,23.12,23.03,15.99,9.98,5.39,-1.25,-2.57,8.78,21.87,10.45,9.64
1975,-1.42,-1.89,0.93,5.58,17.75,21.19,22.94,23.00,15.67,12.25,8.87,-0.99,-1.52,8.09,22.38,12.26,10.30
1976,-6.49,1.03,4.94,10.29,13.88,21.72,22.94,21.50,17.02,8.83,1.15,-5.53,-2.15,9.70,22.05,9.00,9.65
1977,-10.32,-3.44,5.55,11.63,18.30,18.89,24.61,21.78,18.67,9.15,5.01,-3.31,-6.43,11.83,21.76,10.94,9.53
1978,-6.60,-8.43,-0.79,7.80,15.45,19.62,21.78,22.49,20.03,10.42,5.01,-1.40,-6.11,7.49,21.30,11.82,8.62
1979,-7.12,-8.31,3.47,7.31,14.31,19.93,22.04,20.66,17.70,10.78,4.91,0.68,-5.61,8.36,20.88,11.13,8.69
1980,-3.44,-4.69,0.34,8.45,16.18,18.31,23.33,23.35,18.38,8.67,3.71,-2.61,-2.48,8.32,21.66,10.25,9.44
1981,-6.52,-1.07,3.20,10.60,13.98,20.73,23.17,21.79,16.75,9.37,5.80,-1.60,-3.40,9.26,21.90,10.64,9.60
1982,-7.57,-5.56,1.27,6.92,18.64,18.60,23.17,20.55,17.27,12.14,6.04,3.67,-4.91,8.94,20.77,11.82,9.16
1983,-1.12,0.50,4.24,7.50,13.15,20.81,24.33,23.82,18.52,11.58,5.83,-5.49,1.02,8.30,22.99,11.98,11.07
1984,-7.09,1.45,-1.01,9.51,13.20,22.29,22.25,23.35,16.92,13.40,4.38,1.84,-3.71,7.23,22.63,11.57,9.43
1985,-5.74,-4.03,4.23,11.30,16.34,17.86,22.52,21.35,18.64,12.38,6.49,-4.71,-2.64,10.62,20.58,12.50,10.27
1986,-3.80,-3.38,3.29,10.52,16.45,19.75,24.03,20.64,18.99,11.61,3.14,0.00,-3.96,10.09,21.47,11.25,9.71
1987,-3.09,-1.14,4.49,10.63,17.59,22.00,24.66,22.21,18.27,8.27,6.56,1.04,-1.41,10.90,22.96,11.03,10.87
1988,-4.40,-4.60,2.92,9.38,16.85,21.51,25.25,24.10,17.60,7.95,5.84,-1.65,-2.65,9.72,23.62,10.46,10.29
1989,0.63,-4.19,1.96,7.47,14.32,19.89,22.98,21.25,16.78,11.32,3.64,-7.59,-1.74,7.92,21.37,10.58,9.53
1990,1.05,-0.55,4.34,9.61,13.88,20.48,22.54,21.94,18.23,11.77,6.97,0.62,-2.36,9.28,21.65,12.32,10.22
1991,-3.69,-0.25,4.79,11.29,19.35,22.63,24.01,23.18,17.48,12.87,3.82,0.25,-1.11,11.81,23.27,11.39,11.34
1992,-1.85,-0.49,2.15,999.90,14.35,18.29,20.16,18.97,16.07,9.51,4.42,0.37,-0.70,8.31,19.14,10.00,9.19
1993,-1.76,-4.65,1.23,8.49,15.37,19.42,23.88,23.29,15.85,10.77,4.79,-0.94,-2.01,8.36,22.20,10.47,9.75
